10000 99956
1 5382 27
1 6692 19
1 96 21
1 4557 16
1 2810 20
1 4436 17
1 180 13
1 2354 18
1 7841 24
2 2072 22
2 8931 28
2 5981 24
2 5941 11
2 2193 17
2 1496 15
2 3226 24
2 4680 12
2 7275 14
2 3064 20
2 5614 14
2 1396 12
2 4603 13
2 6356 11
3 5987 19
3 9783 15
3 4106 20
3 9059 17
3 5757 19
3 4123 15
3 6365 26
3 563 19
3 8102 27
3 5708 12
3 4835 19
3 3919 19
3 550 29
3 5753 16
4 6139 19
4 527 21
4 5441 28
4 1281 29
4 6807 29
4 8078 13
4 5802 16
4 2106 27
4 5798 27
4 4196 12
4 32 18
4 9489 15
4 2302 28
4 9629 11
5 8271 26
5 6688 26
5 1658 20
5 1980 17
5 9525 17
5 6973 12
5 1852 18
5 8967 24
5 6617 12
5 7399 22
5 7977 29
5 6182 29
5 1354 16
6 205 25
6 6881 11
6 6845 22
6 1358 17
6 9067 21
6 6097 18
6 4460 19
6 4628 21
6 5607 15
6 3363 16
6 751 14
6 1925 11
6 6102 20
7 4621 19
7 3156 18
7 112 27
7 4715 12
7 976 28
7 2068 26
7 7668 23
7 9829 28
7 1539 19
7 3777 18
8 9417 23
8 4538 14
8 6603 20
8 422 16
8 1002 18
8 3838 25
8 20 17
8 9596 13
8 5013 22
9 1510 22
9 2115 25
9 8497 14
9 8956 18
9 4164 25
9 9136 27
9 9677 25
9 7721 11
10 556 12
10 39 16
10 1082 13
10 3815 13
10 7493 11
10 4641 21
11 3728 24
11 5866 26
11 1836 25
11 6625 26
11 8677 11
11 5149 26
11 7194 12
11 340 29
12 1941 21
12 9950 19
12 5433 26
12 1892 25
12 595 15
12 4935 23
12 4639 12
12 5916 24
12 5562 12
13 7566 22
13 2306 13
13 6952 19
13 9879 28
13 8339 23
13 4694 19
13 7752 21
13 5989 19
14 8358 26
14 5121 26
14 7627 29
14 7722 12
14 9987 22
14 4039 17
14 5304 13
14 970 13
14 8209 20
14 5006 29
14 2061 16
15 9536 18
15 9023 15
15 6622 15
15 9626 20
15 7200 20
15 2269 23
15 1774 11
15 3678 13
15 6673 18
15 2408 12
15 568 29
15 5874 27
15 2022 14
15 496 26
15 7368 20
15 3633 14
16 289 17
16 9874 20
16 9870 21
16 3378 16
16 525 21
16 9090 15
16 8770 23
16 937 27
16 1084 16
16 1482 22
16 6266 23
17 6592 27
17 6405 21
17 3357 20
17 372 15
17 7904 12
17 1260 12
17 7010 29
18 1287 26
18 7947 21
18 4509 27
18 4862 18
18 2791 24
18 3385 18
18 1483 26
18 5852 19
18 3820 14
18 8940 25
18 6549 12
18 2661 12
18 4129 12
19 758 18
19 2885 22
19 2702 20
19 932 26
19 3379 27
19 8477 12
19 8145 22
19 6290 24
19 6017 19
19 9817 22
19 9512 15
20 1636 14
20 3906 21
20 2329 23
20 4213 21
20 7592 29
20 8992 18
20 5339 18
20 1351 18
21 7078 21
21 9867 20
21 6389 12
21 3781 12
21 8079 29
21 7661 29
21 703 12
21 6796 29
21 1955 12
21 9810 19
21 6489 27
21 460 16
21 5027 12
22 2142 14
22 7725 27
22 9059 13
22 1006 15
22 712 14
